Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000100399,CHADL,Gene Expression,0.08493693032265583,0.0,0.0,1058,0.09731358830233912,895
ENSG00000197629,MPEG1,Gene Expression,0.08492607848614998,0.0,0.0,5680,0.535186209001549,4274
ENSG00000081052,COL4A4,Gene Expression,0.08489628680521795,0.0,0.0,833,0.08406393779558617,776
ENSG00000081320,STK17B,Gene Expression,0.0848650628283087,0.0,0.0,5214,0.46525424309049385,3899
ENSG00000198216,CACNA1E,Gene Expression,0.0848517561944997,0.0,0.0,595,0.054867807710747236,515
ENSG00000165168,CYBB,Gene Expression,0.08482383588377294,0.0,0.0,23620,2.0182466139525537,9455
ENSG00000124212,PTGIS,Gene Expression,0.0848234838344355,0.0,0.0,12090,1.0011537991605275,6854
ENSG00000176406,RIMS2,Gene Expression,0.08482065112897327,0.0,0.0,1464,0.129844630866053,1261
ENSG00000112214,FHL5,Gene Expression,0.08479284571508647,0.0,0.0,3042,0.29748360367546667,2329
ENSG00000185551,NR2F2,Gene Expression,0.084733340666616,0.0,0.0,29423,2.412361114691616,10006
ENSG00000143858,SYT2,Gene Expression,0.08471328695178584,0.0,0.0,608,0.055565392746357745,487
ENSG00000089597,GANAB,Gene Expression,0.08464649346968045,0.0,0.0,31796,2.546437587427553,10169
ENSG00000125398,SOX9,Gene Expression,0.08452256611177647,0.0,0.0,3620,0.30930241006473036,2745
ENSG00000153253,SCN3A,Gene Expression,0.08451149300308287,0.0,0.0,790,0.07259931879626848,697
ENSG00000119698,PPP4R4,Gene Expression,0.08449113579393468,0.0,0.0,1263,0.11584522372924945,1061
ENSG00000127329,PTPRB,Gene Expression,0.08447487233844948,0.0,0.0,5953,0.5445662666230247,4162
ENSG00000115602,IL1RL1,Gene Expression,0.084410934690849,0.0,0.0,265,0.032518057223588144,239
ENSG00000102786,INTS6,Gene Expression,0.08433544148470631,0.0,0.0,19587,1.5597705144217369,8701
ENSG00000106771,TMEM245,Gene Expression,0.08426780325166588,0.0,0.0,34264,2.693274296853363,10285
ENSG00000155463,OXA1L,Gene Expression,0.08425830521663263,0.0,0.0,33081,2.71253731269501,10376
ENSG00000147459,DOCK5,Gene Expression,0.08424681918340811,0.0,0.0,45740,3.6775155654492666,10864
ENSG00000183696,UPP1,Gene Expression,0.08420322612113983,0.0,0.0,4017,0.36984879368130347,3091
